Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",127.425000,-96.900000,0.000000,top
"C2","100n","C_0402_1005Metric",123.900000,-101.500000,90.000000,top
"C3","100n","C_0402_1005Metric",132.630000,-110.650000,180.000000,top
"C4","100n","C_0402_1005Metric",135.750000,-102.230000,-90.000000,top
"C5","100n","C_0402_1005Metric",127.380000,-98.400000,0.000000,top
"C6","10n","C_0402_1005Metric",123.850000,-105.780000,90.000000,top
"C7","1u","C_0402_1005Metric",122.700000,-108.940000,180.000000,top
"C8","1u","C_0402_1005Metric",122.720000,-110.350000,180.000000,top
"C9","22u","C_0805_2012Metric",138.900000,-107.450000,0.000000,top
"C10","22u","C_0805_2012Metric",144.100000,-113.200000,90.000000,top
"C11","100n","C_0402_1005Metric",127.250000,-110.650000,0.000000,top
"C12","10p","C_0402_1005Metric",122.400000,-102.530000,90.000000,top
"C13","10p","C_0402_1005Metric",122.400000,-104.560000,90.000000,top
"D1","LED","LED_0603_1608Metric",147.400000,-112.437500,-90.000000,top
"FB1","120R","L_0603_1608Metric",124.650000,-109.700000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",149.500000,-103.350000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",143.800000,-91.750000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",129.330000,-91.750000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",123.970000,-117.600000,90.000000,top
"R1","1k5","R_0402_1005Metric",147.890000,-109.700000,180.000000,top
"R2","10k","R_0402_1005Metric",119.000000,-99.860000,90.000000,top
"R3","1k5","R_0402_1005Metric",139.250000,-102.840000,-90.000000,top
"R4","1k5","R_0402_1005Metric",126.510000,-114.000000,0.000000,top
"R5","1k5","R_0402_1005Metric",128.810000,-114.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",115.420000,-99.650000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",138.950000,-113.100000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",129.850000,-104.737500,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",119.850000,-103.530000,-90.000000,top
